zip,city,state
24726,Bluefield,WV
24727,Bluefield,WV
24728,Bluefield,WV
24729,Bluefield,WV
24730,Bluefield,WV
24731,Bluefield,WV
24732,Bluefield,WV
24733,Bluefield,WV
24734,Bluefield,WV
24735,Bluefield,WV
53001,Adell,WI
53002,Allenton,WI
53003,Allenton,WI
53004,Allenton,WI
53005,Allenton,WI
53006,Allenton,WI
53007,Allenton,WI
53008,Allenton,WI
53009,Allenton,WI
53010,Allenton,WI
53011,Allenton,WI
53012,Allenton,WI
53013,Allenton,WI
53014,Allenton,WI
53015,Allenton,WI
53016,Allenton,WI
53017,Allenton,WI
53018,Allenton,WI
53019,Allenton,WI
53020,Allenton,WI
53021,Allenton,WI
53022,Allenton,WI
53023,Allenton,WI
53024,Allenton,WI
53025,Allenton,WI
82001,Cheyenne,WY
82002,Cheyenne,WY
82003,Cheyenne,WY
82004,Cheyenne,WY
82005,Cheyenne,WY
82006,Cheyenne,WY
82007,Cheyenne,WY
82008,Cheyenne,WY
82009,Cheyenne,WY
82010,Cheyenne,WY
82011,Cheyenne,WY
82012,Cheyenne,WY
82013,Cheyenne,WY
82014,Cheyenne,WY
82015,Cheyenne,WY
82016,Cheyenne,WY
82017,Cheyenne,WY
82018,Cheyenne,WY
82019,Cheyenne,WY
82020,Cheyenne,WY
82021,Cheyenne,WY
82022,Cheyenne,WY
82023,Cheyenne,WY
82024,Cheyenne,WY
82025,Cheyenne,WY
